Product Name,Advert Link,Price
"HP 14-ck0989na 14 Inch Full HD Laptop - (Grey) (Intel Pentium Quad Core, 4 GB RAM, 128 GB SSD, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0958583VG6EW4NKDLJ1&url=%2FHP-14-ck0989na-Inch-Full-Laptop%2Fdp%2FB07NDRVWMT%2Fref%3Dsr_1_1_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190570%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-1-spons%26psc%3D1&qualifier=1556190570&id=8871860184447689&widgetName=sp_atf,"299
."
"HP 15.6 Inch Full HD Laptop - (Natural Silver) (Intel Core i5-7200U, 8 GB, 1 TB HDD, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_2?ie=UTF8&adId=A0966463133I0E1M8990U&url=%2FHP-15-6-Inch-Full-Laptop%2Fdp%2FB07KX7L3N2%2Fref%3Dsr_1_2_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190570%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-2-spons%26psc%3D1&qualifier=1556190570&id=8871860184447689&widgetName=sp_atf,"479
."
"HP Pavilion 15.6 Inch Full HD Laptop - (Mineral Silver) (Intel Core i3-8130U, 8 GB RAM, 128 GB SSD, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09662751NKGWDC87IIUW&url=%2FHP-Pavilion-15-6-Inch-Laptop%2Fdp%2FB07KXLRBYX%2Fref%3Dsr_1_11_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190570%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-11-spons%26psc%3D1&qualifier=1556190570&id=8871860184447689&widgetName=sp_mtf,"529
."
"HP Pavilion x360 14-ba104na 14-Inch FHD Touch Screen Convertible Laptop - (Silver) (Intel i5-8250U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics 620, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_2?ie=UTF8&adId=A0966219IURXW4183R8O&url=%2FHP-Pavilion-14-ba104na-14-Inch-Convertible%2Fdp%2FB07954639R%2Fref%3Dsr_1_12_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190570%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-12-spons%26psc%3D1&qualifier=1556190570&id=8871860184447689&widgetName=sp_mtf,"695
."
"HP Pavilion 15.6 Inch Full HD Laptop - (Mineral Silver) (AMD Ryzen 5 2500U, 8 GB RAM, 128 GB SSD, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09663752E29553TYC1S3&url=%2FHP-Pavilion-15-6-Inch-Laptop%2Fdp%2FB07KPSZK8P%2Fref%3Dsr_1_21_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190570%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-21-spons%26psc%3D1&qualifier=1556190570&id=8871860184447689&widgetName=sp_btf,"574
."
"HP 17-ca0007na 17.3 Inch Laptop - (Black) (AMD Ryzen 3 - 2200U, 8 GB RAM, 1 TB HDD, AMD Radeon Vega 3 Graphics, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_2?ie=UTF8&adId=A09666191GCVR0D3STZA3&url=%2FHP-17-ca0007na-17-3-Inch-Laptop%2Fdp%2FB07DPCWTNS%2Fref%3Dsr_1_22_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190570%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-22-spons%26psc%3D1&qualifier=1556190570&id=8871860184447689&widgetName=sp_btf,"419
."
"HP 14 Inch Full HD Laptop - (Grey) (Intel Core i3-7020U, 4 GB RAM, 128 GB SSD, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09586073E38QPJ87CYY&url=%2FHP-14-Inch-Full-Laptop%2Fdp%2FB07M9SJGK1%2Fref%3Dsr_1_17_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190573%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-17-spons%26psc%3D1&qualifier=1556190573&id=7978758600817789&widgetName=sp_atf_next,"389
."
"10.6"" Full HD Laptop Computer Lapbook with Windows 10 Notebook PC, T50 Model, 1920*1080 IPS, Intel Quad-Core, 2GB RAM Lightest Laptop Computer (Refurbished)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_2?ie=UTF8&adId=A10288092WW6PEZ6DBLPN&url=%2FComputer-Notebook-Quad-Core-Lightest-Refurbished%2Fdp%2FB07QN7HFST%2Fref%3Dsr_1_18_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190573%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-18-spons%26psc%3D1&qualifier=1556190573&id=7978758600817789&widgetName=sp_atf_next,"89
."
"13.3in Full HD Laptop Computer Lapbook with Windows 10 Notebook PC, T95 Pro Model, 1920*1080 IPS, Intel Quad-Core, 2GB RAM, Slim Windows Laptop (13.3in) (Renewed)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A10289651PWDDMIYXMX4L&url=%2FComputer-Lapbook-Windows-Notebook-Quad-Core%2Fdp%2FB07QN76KPY%2Fref%3Dsr_1_27_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190573%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-27-spons%26psc%3D1&qualifier=1556190573&id=7978758600817789&widgetName=sp_mtf,"99
."
"14.1in Full HD Windows 10 Laptop - 4GB RAM 32GB Storage, T90B+ Pro Model Lapbook, Intel 64-bit USB 3.0, 5GHz WIFI (Dual-Band WIFI) 2x WIFI speeds, Supports 256GB tf-card and 1TB HDD (Renewed)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_2?ie=UTF8&adId=A10286532NUVQGX5INS0P&url=%2F14-1in-Full-Windows-Laptop-Dual-Band%2Fdp%2FB07QN47GFD%2Fref%3Dsr_1_28_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190573%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-28-spons%26psc%3D1&qualifier=1556190573&id=7978758600817789&widgetName=sp_mtf,"149
."
